ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,SubGroup,Number
SanCristobalJamiltepecMixtec,SanCristobalJamiltepecMixtec,chay1249,,mih,,16.48433,-97.86594,,San Cristóbal (Jamiltepec),Mixtec,47
CuatzoquitengoMixtec,CuatzoquitengoMixtec,cuat1239,,mim,,17.28835,-98.61552,,Cuatzoquitengo,Mixtec,48
SantaAnaCuauhtemocMixtec,SantaAnaCuauhtemocMixtec,cuya1240,,xtu,,17.98379,-96.79439,,Santa Ana Cuauhtémoc,Mixtec,49
CuilapamGuerreroMixtec,CuilapamGuerreroMixtec,,,,,17.04496,-97.75798,,Cuilapam de Guerrero,Mixtec,50
CuyamecalcoVillaZaragozaMixtec,CuyamecalcoVillaZaragozaMixtec,cuya1240,,xtu,,18.0821,-96.7314,,Cuyamecalco Villa de Zaragoza,Mixtec,51
SanJuanDiuxiMixtec_A,SanJuanDiuxiMixtec_A,diux1236,,xtd,,17.3596,-97.3861,,San Juan Diuxi,Mixtec,52
SanJuanDiuxiMixtec_B,SanJuanDiuxiMixtec_B,diux1236,,xtd,,17.3596,-97.3861,,San Juan Diuxi,Mixtec,53
SanMartinDuraznosMixtec_A,SanMartinDuraznosMixtec_A,juxt1235,,vmc,,17.30502,-98.10188,,San Martín Duraznos,Mixtec,54
SanMartinDuraznosMixtec_B,SanMartinDuraznosMixtec_B,juxt1235,,vmc,,17.30502,-98.10188,,San Martín Duraznos,Mixtec,55
SanMartinEstadoMixtec,SanMartinEstadoMixtec,,,,,17.56721,-98.17607,,San Martín del Estado,Mixtec,56
SantaCatarinaEstetlaMixtec,SantaCatarinaEstetlaMixtec,peno1244,,mil,,17.02627,-97.0974,,Santa Catarina Estetla,Mixtec,57
SanFranciscolasFloresMixtec,SanFranciscolasFloresMixtec,,,,,17.777,-98.031,,San Francisco de las Flores,Mixtec,58
SanMarcoslaFlorMixtec,SanMarcoslaFlorMixtec,sanm1291,,jmx,,17.418889,-98.268611,,San Marcos de la Flor,Mixtec,59
SanMiguelElGrandeMixtec_A,SanMiguelElGrandeMixtec_A,sanm1295,,mig,,17.04688,-97.62248,,San Miguel El Grande,Mixtec,60
SanMiguelElGrandeMixtec_B,SanMiguelElGrandeMixtec_B,sanm1295,,mig,,17.04688,-97.62248,,San Miguel El Grande,Mixtec,61
GuadalupeVillahermosaMixtec,GuadalupeVillahermosaMixtec,,,,,17.75898,-98.01539,,Guadalupe Villahermosa (El Portesuelo),Mixtec,63
SantoDomingoHuendioMixtec,SantoDomingoHuendioMixtec,sant1440,,xtm,,17.25296,-97.5054,,Santo Domingo Huendio,Mixtec,64
SantaMariaHuazolotitlanMixtec,SantaMariaHuazolotitlanMixtec,,,,,16.3019,-97.91488,,Santa María Huazolotitlán,Mixtec,66
SanAntonioHuitepecMixtec,SanAntonioHuitepecMixtec,huit1252,,mxs,,16.9476,-97.1236,,San Antonio Huitepec,Mixtec,67
SantaCruzItundujiaMixtec,SantaCruzItundujiaMixtec,itun1239,,mce,,16.77876,-97.59753,,Santa Cruz Itundujia,Mixtec,68
SanMartinItunyosoTriqui,SanMartinItunyosoTriqui,sanm1298,,trq,,17.22887,-97.88125,,San Martín Itunyoso,Triqui,69
IxpantepecNievesMixtec,IxpantepecNievesMixtec,sila1250,,mks,,17.50717,-98.04556,,Ixpantepec Nieves,Mixtec,70
SantiagoIxtayutlaMixtec,SantiagoIxtayutlaMixtec,ixta1235,,vmj,,16.5774,-97.5759,,Santiago Ixtayutla,Mixtec,71
SantiagoIxtaltepecMixtec,SantiagoIxtaltepecMixtec,,,,,17.54171,-97.11437,,Santiago Ixtaltepec,Mixtec,72
SanMiguelIxtapamMixtec,SanMiguelIxtapamMixtec,,,,,17.9167,-97.5167,,San Miguel Ixtapam,Mixtec,73
SantiagoJamiltepecMixtec_A,SantiagoJamiltepecMixtec_A,jami1235,,mxt,,16.2279,-97.8417,,Santiago Jamiltepec,Mixtec,74
SantiagoJamiltepecMixtec_B,SantiagoJamiltepecMixtec_B,jami1235,,mxt,,16.2279,-97.8417,,Santiago Jamiltepec,Mixtec,75
SanFranciscoJaltepetongoMixtec,SanFranciscoJaltepetongoMixtec,,,,,17.38592,-97.26345,,San Francisco Jaltepetongo,Mixtec,76
SantaMariaJicaltepecMixtec,SantaMariaJicaltepecMixtec,pino1237,,mio,,16.38086,-98.04128,,Santa María Jicaltepec,Mixtec,77
SanPedroJicayanMixtec,SanPedroJicayanMixtec,,,,,16.45235,-98.0151,,San Pedro Jicayán,Mixtec,78
ElJicaralMixtec,ElJicaralMixtec,coic1238,,jmx,,17.12602,-98.196842,,El Jicaral,Mixtec,79
SanPedroJocotipacMixtec,SanPedroJocotipacMixtec,,,,,17.7687,-97.07983,,San Pedro Jocotipac,Mixtec,80
SantiagoJuxtlahuacaMixtec,SantiagoJuxtlahuacaMixtec,juxt1235,,vmc,,17.3518,-98.0146,,Santiago Juxtlahuaca,Mixtec,81
SanLorenzoMixtec,SanLorenzoMixtec,,,,,17.66757,-98.11901,,San Lorenzo,Mixtec,82
SantaCatarinaMechoacanMixtec,SantaCatarinaMechoacanMixtec,chay1249,,mih,,16.33471,-97.83626,,Santa Catarina Mechoacán,Mixtec,83
MetlatonocMixtec,MetlatonocMixtec,metl1238,,mxv,,17.1947,-98.3514,,Metlatónoc,Mixtec,84
ElRosarioMicaltepecMixtec,ElRosarioMicaltepecMixtec,,,,,18.04537,-97.85057,,El Rosario Micaltepec,Mixtec,85
SanJuanMixtepecMixtec,SanJuanMixtepecMixtec,mixt1425,,mix,,17.3317,-97.8791,,San Juan Mixtepec,Mixtec,87
SanPedroMolinosMixtec,SanPedroMolinosMixtec,sanp1259,,mig,,17.10495,-97.54152,,San Pedro Molinos,Mixtec,88
SanSebastianMonteMixtec_A,SanSebastianMonteMixtec_A,sila1250,,mks,,17.6793,-98.02259,,San Sebastián del Monte,Mixtec,90
SanSebastianMonteMixtec_B,SanSebastianMonteMixtec_B,sila1250,,mks,,17.6793,-98.02259,,San Sebastián del Monte,Mixtec,91
SantaLuciaMonteverdeMixtec,SantaLuciaMonteverdeMixtec,sant1439,,mdv,,16.9969,-97.6277,,Santa Lucía Monteverde,Mixtec,92
SanAgustinMonteLobosMixtec,SanAgustinMonteLobosMixtec,,,,,17.63031,-97.28821,,San Agustín Monte Lobos,Mixtec,93
SanLuisMoreliaMixtec,SanLuisMoreliaMixtec,tama1339,,vmx,,17.70342,-98.21456,,San Luis Morelia,Mixtec,94
SanAntonioNduayacoMixtec,SanAntonioNduayacoMixtec,apas1235,,mip,,17.68547,-97.14745,,San Antonio Nduayaco,Mixtec,95
SanJorgeNuchitaMixtec,SanJorgeNuchitaMixtec,sila1250,,mks,,17.65569,-98.10499,,San Jorge Nuchita,Mixtec,97
SanJuanNumiMixtec,SanJuanNumiMixtec,nort2985,,xtn,,17.39759,-97.70603,,San Juan Ñumi,Mixtec,98
SantaCruzNundacoMixtec,SantaCruzNundacoMixtec,,,,,17.17339,-97.72325,,Santa Cruz Nundaco,Mixtec,99
SantiagoNundicheMixtec,SantiagoNundicheMixtec,nort2985,,xtn,,17.3312,-97.67444,,Santiago Nundiche,Mixtec,100
SantoDomingoNundoMixtec,SantoDomingoNundoMixtec,,,,,17.60855,-97.68566,,Santo Domingo Nundo,Mixtec,101
