ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_animal,ANIMAL,619,ANIMAL,1
2_avocado,AVOCADO,3725,AVOCADO,2
3_back,BACK,1291,BACK,3
4_banana,BANANA,399,PLANTAIN,4
5_tortillabasket,TORTILLA BASKET,,,5
6_bellyorstomach,BELLY OR STOMACH,819,STOMACH,6
7_bigplural,BIG (PLURAL),1202,BIG,7
8_bigsingular,BIG (SINGULAR),1202,BIG,8
9_bird,BIRD,937,BIRD,9
10_black,BLACK,163,BLACK,10
11_bone,BONE,1394,BONE,11
12_brotherofman,BROTHER (OF MAN),1262,BROTHER,12
13_cat,CAT,1208,CAT,13
14_chayote,CHAYOTE,,,14
15_childdescendant,CHILD (DESCENDANT),1620,SON,15
16_clothorclothes,CLOTH OR CLOTHES,1616,CLOTH,16
17_cookingpot,COOKING POT,3653,COOKING POT,17
18_corn,CORN,506,MAIZE,18
19_cornfield,CORN FIELD,449,CORN FIELD,19
20_crosssexsibling,CROSS-SEX SIBLING,,,20
21_day24hours,DAY (24 HOURS),1225,DAY (NOT NIGHT),21
22_allday,ALL DAY,,,22
23_deer,DEER,1936,DEER,23
24_dew,DEW,1977,DEW,24
25_disease,DISEASE,1986,DISEASE,25
26_dog,DOG,2009,DOG,26
27_egg,EGG,744,EGG,27
28_eight,EIGHT,1705,EIGHT,28
29_face,FACE,1560,FACE,29
30_far,FAR,1406,FAR,30
31_fatfromanimals,FAT (FROM ANIMALS),323,FAT (ORGANIC SUBSTANCE),31
32_father,FATHER,1217,FATHER,32
33_fifteen,FIFTEEN,1709,FIFTEEN,33
34_fish,FISH,227,FISH,34
35_five,FIVE,493,FIVE,35
36_flower,FLOWER,239,FLOWER,36
37_foot,FOOT,1301,FOOT,37
38_four,FOUR,1500,FOUR,38
39_good,GOOD,1035,GOOD,39
40_grass,GRASS,606,GRASS,40
41_grasshopper,GRASSHOPPER,607,GRASSHOPPER,41
42_middle,MIDDLE,1093,MIDDLE,42
43_hand,HAND,1277,HAND,43
44_heavy,HEAVY,1210,HEAVY,44
45_hen,HEN,1514,HEN,45
46_hole,HOLE,1667,HOLE,46
47_hornanatomy,HORN (ANATOMY),1393,HORN (ANATOMY),47
48_hot,HOT,1286,HOT,48
49_house,HOUSE,1252,HOUSE,49
50_longplural,LONG (PLURAL),1203,LONG,50
51_longsingular,LONG (SINGULAR),1203,LONG,51
52_limematerial,LIME (MATERIAL),2540,LIME (MATERIAL),52
53_man,MAN,1554,MAN,53
54_meat,MEAT,2615,FLESH OR MEAT,54
55_medicine,MEDICINE,1372,MEDICINE,55
56_metal,METAL,2244,METAL,56
57_money,MONEY,1559,MONEY,57
58_mother,MOTHER,1216,MOTHER,58
59_mothervocative,MOTHER VOCATIVE,1216,MOTHER,59
60_mountainorhill,MOUNTAIN OR HILL,1683,BUSH,60
61_mouth,MOUTH,674,MOUTH,61
62_mud,MUD,640,MUD,62
63_mouse,MOUSE,1491,MOUSE,63
64_mushroom,MUSHROOM,641,MUSHROOM,64
65_song,SONG,1096,SONG,65
66_near,NEAR,1942,NEAR,66
67_nighttime,NIGHT TIME,,,67
68_nine,NINE,1483,NINE,68
69_nose,NOSE,1221,NOSE,69
70_nowortoday,NOW OR TODAY,1376,NOW,70
71_one,ONE,1493,ONE,71
72_paper,PAPER,648,PAPER,72
73_path,PATH,2252,PATH,73
74_pig,PIG,1337,PIG,74
75_plate,PLATE,480,PLATE,75
76_poor,POOR,1674,POOR,76
77_possum,POSSUM,470,POSSUM,77
78_pricklypearcactus,PRICKLY PEAR CACTUS,,,78
79_priest,PRIEST,852,PRIEST,79
80_pumpkin,PUMPKIN,411,GOURD,80
81_rabbit,RABBIT,1136,RABBIT,81
82_rainprecipitation,RAIN (PRECIPITATION),658,RAIN (PRECIPITATION),82
83_red,RED,156,RED,83
84_rich,RICH,712,RICH,84
85_rooster,ROOSTER,1511,ROOSTER,85
86_rope,ROPE,1218,ROPE,86
87_salt,SALT,1274,SALT,87
88_salty,SALTY,1091,SALTY,88
89_scorpion,SCORPION,1538,SCORPION,89
90_seven,SEVEN,1704,SEVEN,90
91_sheep,SHEEP,1331,SHEEP,91
92_six,SIX,1703,SIX,92
93_slow,SLOW,701,SLOW,93
94_smallsingular,SMALL (SINGULAR),1246,SMALL,94
95_snake,SNAKE,730,SNAKE,95
96_stoneorrock,STONE OR ROCK,857,STONE,96
97_sugarcane,SUGAR CANE,146,SUGAR CANE,97
98_tasty,TASTY,1813,TASTY,98
99_ten,TEN,1515,TEN,99
100_thread,THREAD,1161,THREAD,100
101_three,THREE,492,THREE,101
102_tomato,TOMATO,986,TOMATO,102
103_tortilla,TORTILLA,,,103
104_townorvillage,TOWN OR VILLAGE,930,VILLAGE,104
105_tree,TREE,906,TREE,105
106_twenty,TWENTY,1710,TWENTY,106
107_two,TWO,1498,TWO,107
108_ugly,UGLY,1548,UGLY,108
109_water,WATER,948,WATER,109
110_when,WHEN,1238,WHEN,110
111_white,WHITE,1335,WHITE,111
112_wing,WING,1257,WING,112
113_woman,WOMAN,962,WOMAN,113
114_word,WORD,1599,WORD,114
115_workingorwork,WORKING OR WORK,984,WORK (LABOUR),115
116_year,YEAR,1226,YEAR,116
117_yellow,YELLOW,1424,YELLOW,117
118_yesterday,YESTERDAY,1174,YESTERDAY,118
119_aunt,AUNT,1272,AUNT,119
120_basket,BASKET,1539,BASKET,120
121_bean,BEAN,832,BEAN,121
122_beeswax,BEESWAX,1931,BEESWAX,122
123_charcoal,CHARCOAL,1188,CHARCOAL,123
124_chilipepper,CHILI PEPPER,919,CHILI PEPPER,124
125_cloth,CLOTH,1616,CLOTH,125
126_cloud,CLOUD,1489,CLOUD,126
127_cotton,COTTON,1850,COTTON,127
128_custardapple,CUSTARD APPLE,,,128
129_daughter,DAUGHTER,1357,DAUGHTER,129
130_daynotnight,DAY (NOT NIGHT),1225,DAY (NOT NIGHT),130
131_ear,EAR,1247,EAR,131
132_earofcornfresh,EAR OF CORN (FRESH),3244,EAR (OF GRAIN),132
133_blame,BLAME,381,BLAME,133
134_fire,FIRE,221,FIRE,134
135_gourdbowl,GOURD BOWL,,,135
136_hair,HAIR,1040,HAIR,136
137_half,HALF,816,HALF,137
138_horse,HORSE,615,HORSE,138
139_lazy,LAZY,1564,LAZY,139
140_moon,MOON,1313,MOON,140
141_neck,NECK,1333,NECK,141
142_netbag,NETBAG,293,NETBAG,142
143_night,NIGHT,1233,NIGHT,143
144_owner,OWNER,1036,OWNER,144
145_raw,RAW,1959,RAW,145
146_river,RIVER,666,RIVER,146
147_sandal,SANDAL,,,147
148_sisterofwoman,SISTER (OF WOMAN),1263,SISTER,148
150_tail,TAIL,1220,TAIL,150
151_uncle,UNCLE,1327,UNCLE,151
152_ant,ANT,587,ANT,152
153_ash,ASH,646,ASH,153
154_bed,BED,1663,BED,154
155_bee,BEE,665,BEE,155
156_big,BIG,1202,BIG,156
157_bitter,BITTER,887,BITTER,157
158_blood,BLOOD,946,BLOOD,158
159_blousewoven,BLOUSE (WOVEN),,,159
160_cold,COLD,1287,COLD,160
161_comb,COMB,1475,COMB,161
162_dream,DREAM,1920,DREAM (SOMETHING),162
163_dust,DUST,2,DUST,163
164_feather,FEATHER,1201,FEATHER,164
165_foam,FOAM,1768,FOAM,165
166_frog,FROG,503,FROG,166
167_furrow,FURROW,1794,FURROW,167
168_garbage,GARBAGE,909,GARBAGE,168
169_green,GREEN,1425,GREEN,169
170_griddle,GRIDDLE,,,170
171_honey,HONEY,942,HONEY,171
172_intestines,INTESTINES,1251,BELLY,172
173_jealous,JEALOUS,2821,JEALOUS,173
174_long,LONG,1203,LONG,174
175_lightning,LIGHTNING,1654,LIGHTNING,175
176_mameyorzapote,MAMEY OR ZAPOTE,,,176
177_mat,MAT,195,MAT,177
178_iron,IRON,621,IRON,178
179_net,NET,388,FISHNET,179
180_new,NEW,1231,NEW,180
181_oven,OVEN,1143,OVEN,181
182_pimple,PIMPLE,605,GRAIN,182
183_plain,PLAIN,652,PLAIN,183
184_pus,PUS,1808,PUS,184
185_ring,RING,1374,RING,185
186_root,ROOT,670,ROOT,186
187_skunk,SKUNK,3888,SKUNK,187
188_smokeexhaust,SMOKE (EXHAUST),778,SMOKE (EXHAUST),188
189_smooth,SMOOTH,1234,SMOOTH,189
190_soap,SOAP,788,SOAP,190
191_son,SON,1620,SON,191
192_stool,STOOL,1476,CHAIR,192
193_swelling,SWELLING,1903,SWELLING,193
194_tassel,TASSEL,,,194
195_thorn,THORN,124,THORN,195
196_tongue,TONGUE,1205,TONGUE,196
197_tooth,TOOTH,1380,TOOTH,197
198_urine,URINE,1142,URINE,198
199_wide,WIDE,1243,WIDE,199
200_boxorchest,BOX OR CHEST,1592,CHEST,200
201_tortillacloth,TORTILLA CLOTH,,,201
202_cockroach,COCKROACH,1575,COCKROACH,202
203_corndough,CORN DOUGH,273,DOUGH,203
204_cornstalk,CORN STALK,,,204
205_fingernail,FINGERNAIL,1258,FINGERNAIL,205
206_greenbean,GREEN BEAN,,,206
207_hawk,HAWK,1865,BUZZARD,207
208_muroidmouseorrat,MUROID (MOUSE OR RAT),2139,MUROID (MOUSE OR RAT),208
209_nixtamal,NIXTAMAL,,,209
210_post,POST,281,POST,210
211_raccoon,RACCOON,828,RACCOON,211
212_smallplural,SMALL (PLURAL),1246,SMALL,212
213_squirrel,SQUIRREL,1628,SQUIRREL,213
214_sweetpotato,SWEET POTATO,159,SWEET POTATO,214
215_vulture,VULTURE,1185,VULTURE,215
216_brother,BROTHER,1262,BROTHER,216
217_herbaceousplant,HERBACEOUS PLANT,628,LEAF,217
218_maguey,MAGUEY,,,218
219_mamey,MAMEY,,,219
220_zapote,ZAPOTE,,,220
221_music,MUSIC,642,MUSIC,221
222_sister,SISTER,1263,SISTER,222
223_trousers,TROUSERS,809,TROUSERS,223
224_chicken,CHICKEN,1318,CHICKEN,224
225_thunder,THUNDER,1150,THUNDER,225
226_rat,RAT,1490,RAT,226
227_clothes,CLOTHES,1895,CLOTHES,227
228_zapoteblack,ZAPOTE (BLACK),,,228
229_fathervocative,FATHER VOCATIVE,1217,FATHER,229
234_sleepy,SLEEPY,3620,SLEEPY,234
236_loose,LOOSE,2506,LOOSE,236
237_mezzanine,MEZZANINE,,,237
