ID	Number	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code
SanPedroCoxcaltepecCantarosMixtec	46	SanPedroCoxcaltepecCantarosMixtec	San Pedro Coxcaltepec Cántaros	Mixtec	17.49922	-97.13893		
SanCristobalJamiltepecMixtec	47	SanCristobalJamiltepecMixtec	San Cristóbal (Jamiltepec)	Mixtec	16.48433	-97.86594	chay1249	mih
CuatzoquitengoMixtec	48	CuatzoquitengoMixtec	Cuatzoquitengo	Mixtec	17.28835	-98.61552	cuat1239	mim
SantaAnaCuauhtemocMixtec	49	SantaAnaCuauhtemocMixtec	Santa Ana Cuauhtémoc	Mixtec	17.98379	-96.79439	cuya1240	xtu
CuilapamGuerreroMixtec	50	CuilapamGuerreroMixtec	Cuilapam de Guerrero	Mixtec	17.04496	-97.75798		
CuyamecalcoVillaZaragozaMixtec	51	CuyamecalcoVillaZaragozaMixtec	Cuyamecalco Villa de Zaragoza	Mixtec	18.0821	-96.7314	cuya1240	xtu
SanJuanDiuxiMixtec_A	52	SanJuanDiuxiMixtec_A	San Juan Diuxi	Mixtec	17.3596	-97.3861	diux1235	xtd
SanJuanDiuxiMixtec_B	53	SanJuanDiuxiMixtec_B	San Juan Diuxi	Mixtec	17.3596	-97.3861	diux1235	xtd
SanMartinDuraznosMixtec_A	54	SanMartinDuraznosMixtec_A	San Martín Duraznos	Mixtec	17.30502	-98.10188	juxt1235	vmc
SanMartinDuraznosMixtec_B	55	SanMartinDuraznosMixtec_B	San Martín Duraznos	Mixtec	17.30502	-98.10188	juxt1235	vmc
SanMartinEstadoMixtec	56	SanMartinEstadoMixtec	San Martín del Estado	Mixtec	17.56721	-98.17607		
SantaCatarinaEstetlaMixtec	57	SantaCatarinaEstetlaMixtec	Santa Catarina Estetla	Mixtec	17.02627	-97.0974	peno1244	mil
SanFranciscolasFloresMixtec	58	SanFranciscolasFloresMixtec	San Francisco de las Flores	Mixtec	17.777	-98.031		
SanMarcoslaFlorMixtec	59	SanMarcoslaFlorMixtec	San Marcos de la Flor	Mixtec	17.418889	-98.268611	sanm1291	jmx
SanMiguelElGrandeMixtec_A	60	SanMiguelElGrandeMixtec_A	San Miguel El Grande	Mixtec	17.04688	-97.62248	sanm1295	mig
SanMiguelElGrandeMixtec_B	61	SanMiguelElGrandeMixtec_B	San Miguel El Grande	Mixtec	17.04688	-97.62248	sanm1295	mig
SanMiguelElGrandeAlcozaucaMixtec	62	SanMiguelElGrandeAlcozaucaMixtec	San Miguel El Grande (Alcozáuca)	Mixtec	17.24389	-98.23722	alco1235	xta
GuadalupeVillahermosaMixtec	63	GuadalupeVillahermosaMixtec	Guadalupe Villahermosa (El Portesuelo)	Mixtec	17.75898	-98.01539		
SantoDomingoHuendioMixtec	64	SantoDomingoHuendioMixtec	Santo Domingo Huendio	Mixtec	17.25296	-97.5054	sant1440	xtm
HeroicaCiudadHuajuapanLeonMixtec	65	HeroicaCiudadHuajuapanLeonMixtec	Heroica Ciudad de Huajuapan de León	Mixtec	17.80698	-97.776062	caca1250	miu
SantaMariaHuazolotitlanMixtec	66	SantaMariaHuazolotitlanMixtec	Santa María Huazolotitlán	Mixtec	16.3019	-97.91488		
SanAntonioHuitepecMixtec	67	SanAntonioHuitepecMixtec	San Antonio Huitepec	Mixtec	16.9476	-97.1236	huit1252	mxs
SantaCruzItundujiaMixtec	68	SantaCruzItundujiaMixtec	Santa Cruz Itundujia	Mixtec	16.77876	-97.59753	itun1239	mce
SanMartinItunyosoTriqui	69	SanMartinItunyosoTriqui	San Martín Itunyoso	Triqui	17.22887	-97.88125	sanm1298	trq
IxpantepecNievesMixtec	70	IxpantepecNievesMixtec	Ixpantepec Nieves	Mixtec	17.50717	-98.04556	sila1250	mks
SantiagoIxtayutlaMixtec	71	SantiagoIxtayutlaMixtec	Santiago Ixtayutla	Mixtec	16.5774	-97.5759	ixta1235	vmj
SantiagoIxtaltepecMixtec	72	SantiagoIxtaltepecMixtec	Santiago Ixtaltepec	Mixtec	17.54171	-97.11437		
SanMiguelIxtapamMixtec	73	SanMiguelIxtapamMixtec	San Miguel Ixtapam	Mixtec	17.9167	-97.5167		
SantiagoJamiltepecMixtec_A	74	SantiagoJamiltepecMixtec_A	Santiago Jamiltepec	Mixtec	16.2279	-97.8417	jami1235	mxt
SantiagoJamiltepecMixtec_B	75	SantiagoJamiltepecMixtec_B	Santiago Jamiltepec	Mixtec	16.2279	-97.8417	jami1235	mxt
SanFranciscoJaltepetongoMixtec	76	SanFranciscoJaltepetongoMixtec	San Francisco Jaltepetongo	Mixtec	17.38592	-97.26345		
SantaMariaJicaltepecMixtec	77	SantaMariaJicaltepecMixtec	Santa María Jicaltepec	Mixtec	16.38086	-98.04128	pino1237	mio
SanPedroJicayanMixtec	78	SanPedroJicayanMixtec	San Pedro Jicayán	Mixtec	16.45235	-98.0151		
ElJicaralMixtec	79	ElJicaralMixtec	El Jicaral	Mixtec	17.12602	-98.196842	coic1238	jmx
SanPedroJocotipacMixtec	80	SanPedroJocotipacMixtec	San Pedro Jocotipac	Mixtec	17.7687	-97.07983		
