NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	ANIMAL	619	ANIMAL
2	AVOCADO	3725	AVOCADO
3	BACK	1291	BACK
4	BANANA	399	PLANTAIN
5	TORTILLA BASKET		
6	BELLY OR STOMACH	819	STOMACH
7	BIG (PLURAL)	1202	BIG
8	BIG (SINGULAR)	1202	BIG
9	BIRD	937	BIRD
10	BLACK	163	BLACK
11	BONE	1394	BONE
12	BROTHER (OF MAN)	1262	BROTHER
13	CAT	1208	CAT
14	CHAYOTE		
15	CHILD (DESCENDANT)	1620	SON
16	CLOTH OR CLOTHES	1616	CLOTH
17	COOKING POT	3653	COOKING POT
18	CORN	506	MAIZE
19	CORN FIELD	449	CORN FIELD
20	CROSS-SEX SIBLING		
21	DAY (24 HOURS)	1225	DAY (NOT NIGHT)
22	ALL DAY		
23	DEER	1936	DEER
24	DEW	1977	DEW
25	DISEASE	1986	DISEASE
26	DOG	2009	DOG
27	EGG	744	EGG
28	EIGHT	1705	EIGHT
29	FACE	1560	FACE
30	FAR	1406	FAR
31	FAT (FROM ANIMALS)	323	FAT (ORGANIC SUBSTANCE)
32	FATHER	1217	FATHER
33	FIFTEEN	1709	FIFTEEN
34	FISH	227	FISH
35	FIVE	493	FIVE
36	FLOWER	239	FLOWER
37	FOOT	1301	FOOT
38	FOUR	1500	FOUR
39	GOOD	1035	GOOD
40	GRASS	606	GRASS
41	GRASSHOPPER	607	GRASSHOPPER
42	MIDDLE	1093	MIDDLE
43	HAND	1277	HAND
44	HEAVY	1210	HEAVY
45	HEN	1514	HEN
46	HOLE	1667	HOLE
47	HORN (ANATOMY)	1393	HORN (ANATOMY)
48	HOT	1286	HOT
49	HOUSE	1252	HOUSE
50	LONG (PLURAL)	1203	LONG
51	LONG (SINGULAR)	1203	LONG
52	LIME (MATERIAL)	2540	LIME (MATERIAL)
53	MAN	1554	MAN
54	MEAT	2615	FLESH OR MEAT
55	MEDICINE	1372	MEDICINE
56	METAL	2244	METAL
57	MONEY	1559	MONEY
58	MOTHER	1216	MOTHER
59	MOTHER VOCATIVE	1216	MOTHER
60	MOUNTAIN OR HILL	1683	BUSH
61	MOUTH	674	MOUTH
62	MUD	640	MUD
63	MOUSE	1491	MOUSE
64	MUSHROOM	641	MUSHROOM
65	SONG	1096	SONG
66	NEAR	1942	NEAR
67	NIGHT TIME		
68	NINE	1483	NINE
69	NOSE	1221	NOSE
70	NOW OR TODAY	1376	NOW
71	ONE	1493	ONE
72	PAPER	648	PAPER
73	PATH	2252	PATH
74	PIG	1337	PIG
75	PLATE	480	PLATE
76	POOR	1674	POOR
77	POSSUM	470	POSSUM
78	PRICKLY PEAR CACTUS		
79	PRIEST	852	PRIEST
80	PUMPKIN	411	GOURD
81	RABBIT	1136	RABBIT
82	RAIN (PRECIPITATION)	658	RAIN (PRECIPITATION)
83	RED	156	RED
84	RICH	712	RICH
85	ROOSTER	1511	ROOSTER
86	ROPE	1218	ROPE
87	SALT	1274	SALT
88	SALTY	1091	SALTY
89	SCORPION	1538	SCORPION
90	SEVEN	1704	SEVEN
91	SHEEP	1331	SHEEP
92	SIX	1703	SIX
93	SLOW	701	SLOW
94	SMALL (SINGULAR)	1246	SMALL
95	SNAKE	730	SNAKE
96	STONE OR ROCK	857	STONE
97	SUGAR CANE	146	SUGAR CANE
98	TASTY	1813	TASTY
99	TEN	1515	TEN
100	THREAD	1161	THREAD
101	THREE	492	THREE
102	TOMATO	986	TOMATO
103	TORTILLA		
104	TOWN OR VILLAGE	930	VILLAGE
105	TREE	906	TREE
106	TWENTY	1710	TWENTY
107	TWO	1498	TWO
108	UGLY	1548	UGLY
