Grapheme	IPA	Frequency
^k	k	22
ɨ̀	ɨ ¹	10
t	t	25
ɨ̀$	ɨ ¹	8
^đ	ð	16
ì	i ¹	7
đ	ð	9
í$	i ⁵	9
^ⁿd	ⁿd	19
ù	u ¹	19
č	tʃ	9
ì$	i ¹	8
^ñ	ɲ	10
ú̧	ũ ⁵	10
m	m	10
á̧$	ã ⁵	6
^š	ʃ	9
ɨ́$	ɨ ⁵	1
â	a ⁵¹	4
ʔ	ʔ	57
n	n	22
ù$	u ¹	11
à	a ¹	18
u̧$	ũ	14
^t	t	18
ɨ́	ɨ ⁵	7
-	+	9
l	l	6
á$	a ⁵	21
a̧	ã	7
a̧$	ã	7
^ú	u ⁵	4
ù̧	ũ ¹	2
ù̧$	ũ ¹	10
^kʷ	kʷ	11
e	e	3
i$	i	4
^n	n	11
ɨ̧́	ɨ̃	3
ñ	ɲ	10
ɨ̧́$	ɨ̃ ⁵	2
í	i ⁵	17
k	k	17
ú̧$	ũ ⁵	10
^ž	ʒ	32
^s	s	5
a	a	5
i̧$	ĩ	4
^m	m	2
í̧	ĩ ⁵	4
é	e ⁵	7
è$	e ¹	11
à$	a ¹	12
ó	o ⁵	7
ó$	o ⁵	9
^ƀ	β	12
š	ʃ	9
ì̧$	ĩ ¹	6
ú	u ⁵	19
í̧$	ĩ ⁵	6
à̧$	ã ¹	4
^i̧	ĩ	2
á̧	ã ⁵	3
á	a ⁵	9
u	u	4
u$	u	4
^ì	i ¹	6
ú$	u ⁵	19
ž	ʒ	7
é$	e ⁵	3
ò$	o ¹	5
^l	l	7
o	o	2
o$	o	2
^ʔ	ʔ	5
^tn	tⁿ	4
tn	tⁿ	
^č	tʃ	6
ì̧	ĩ ¹	6
i̧̧$	ĩ	2
u̧	ũ	7
^ú̧	ũ ⁵	2
ƀ	β	3
i	i	1
î	i ⁵¹	2
^ⁿǰ	ⁿdʒ	3
i̧	ĩ	1
è	e ¹	6
ɨ̧	ɨ̃	2
ɨ̧$	ɨ̃	2
ⁿd	ⁿd	2
i̧̧	ĩ	1
^ɨ̧́ɨ̧́$	ɨ̃ ⁵ ɨ̃ ⁵	1
N	n̥	1
^ɨ̧̀ɨ̧̀$	ɨ̃ ¹ ɨ̃ ¹	1
a$	a	1
ɨ̧̀$	ɨ̃ ⁵	2
kʷ	kʷ	4
ɨ̧̀	ɨ̃ ¹	1
ê	e ⁵¹	1
ȩ$	ẽ	3
e$	e	1
ò	o ¹	4
s	s	3
^ì̧	ĩ ¹	1
ȩ́	ẽ ⁵	1
d	d	1
^w	w	1
à̧	ã ¹	3
r	ɾ	1
ȩ̀	ẽ ¹	1
ȩ̀$	ẽ ¹	1
ȩ	ẽ	1
î̧	ĩ ⁵¹	1
â̧	ã ⁵¹	1
