Grapheme	IPA	Frequency
^k	k	11
ɨ	ɨ	8
t	t	14
ɨ$	ɨ	2
^ts	ts	5
ó	o ⁵	5
k	k	13
o$	o	2
^ñ	ɲ	5
ā	a ¹	7
n	n	10
á$	a ⁵	8
^t	t	10
ɨ̄	ɨ ¹	3
ts	ts	8
ín$	ĩ ⁵	3
^á	a ⁵	1
ā$	a ¹	6
^nd	ⁿd	12
i	i	9
a$	a	7
u	u	18
i$	i	15
-	+	6
m	m	9
e$	e	6
^sh	ʃ	10
ú	u ⁵	11
ē$	e ¹	3
^n	n	6
a	a	9
h	ʔ	38
u$	u	8
^l	l	2
á	a ⁵	2
ūún$	ũ ¹ ũ ⁵	1
^kw	kʷ	6
é	e ⁵	2
^e	e	3
un$	ũ	6
í$	i ⁵	4
^m	m	1
sh	ʃ	10
ūn$	ũ ¹	4
^i	i	10
^d	ð	14
o	o	1
^v	β	5
^u	u	5
en$	ẽ	2
ú$	u ⁵	5
ō	o ¹	3
ó$	o ⁵	5
v	β	11
^r	ɾ	1
í	i ⁵	3
ī	i ¹	5
^ú	u ⁵	6
ē	e ¹	3
én$	ẽ ⁵	1
^ū	u ¹	1
â$	a ⁵¹	2
iin$	ĩ ¹ ĩ ¹	1
ū$	u ¹	6
ɨ́	ɨ ⁵	3
n$	n	3
ī$	i ¹	7
^s	s	1
nd	ⁿd	2
d	ð	4
^ch	tʃ	2
ō$	o ¹	5
ēn$	ẽ ¹	1
an	ã	2
kw	kʷ	1
é$	e ⁵	3
ñ	ɲ	6
ɨ̄$	ɨ ¹	2
in$	ĩ	2
^ɨ̄	ɨ ¹	1
īn$	ĩ ¹	1
^ɨ	ɨ	1
an$	ã	1
^í	i ⁵	2
e	e	1
ɨ́$	ɨ ⁵	1
^ó	o ⁵	1
^a	a	1
^dy	ðʲ	
ɨ̄n$	ɨ̃ ¹	
ɨn$	ɨ̃	
