Grapheme	IPA	Frequency
^k	k	14
ɨ̄	ɨ ³	5
t	t	20
ɨ$	ɨ ¹	6
^ð	ð	15
í	i ⁵	17
ð	ð	9
î$	i ⁵¹	8
^t	t	11
ɨ́	ɨ ⁵	8
ch	tʃ	10
^y	ʒ	17
á	a ⁵	23
â$	a ⁵¹	7
^kw	kʷ	13
h	ʔ	38
í$	i ⁵	16
k	k	10
a$	a ¹	14
^nd	ⁿd	9
u	u ¹	4
i$	i ¹	6
^tn	tⁿ	5
tn	tⁿ	
-	+	8
^ñ	ɲ	10
ú	u ⁵	14
ñ	ɲ	9
ú$	u ⁵	18
á$	a ⁵	13
^sh	ʃ	7
i	i ¹	14
^n	n	9
n	n	30
u$	u ¹	9
^ch	tʃ	4
l	l	2
ū$	u ³	2
é	e ⁵	5
^v	β	9
ūún$	ũ ³ ũ ⁵	1
a	a ¹	6
y	ʒ	4
m	m	2
ô$	o ⁵¹	5
sh	ʃ	6
ɨ̂$	ɨ ⁵¹	1
ū	u ³	8
^í	i ⁵	8
û$	u ⁵¹	9
e	e ¹	5
e$	e ¹	5
î	i ⁵¹	1
ó	o ⁵	6
o$	o ¹	3
ɨ́$	ɨ ⁵	2
ɨ	ɨ ¹	2
^ú	u ⁵	5
én$	ẽ ⁵	1
ā$	a ³	2
û	u ⁵¹	3
n$	n	4
ā	a ³	2
^ó	o ⁵	2
ô	o ⁵¹	2
^i	i ¹	1
ê$	e ⁵¹	2
óôn$	õ ⁵ õ ⁵¹	1
ôn$	õ ⁵¹	
^m	m	1
ī	i ³	1
ī$	i ³	3
v	β	2
ē	e ³	2
é$	e ⁵	1
^ɨ́	ɨ ⁵	1
ɨ̂	ɨ ⁵¹	1
^ɨ̄	ɨ ³	1
^ī	i ³	1
nd	ⁿd	1
o	o ¹	2
x	x	1
ó$	o ⁵	4
^l	l	2
ē$	e ³	1
^s	s	1
án$	ã ⁵	1
^a	a ¹	1
ɨ̄$	ɨ ³	1
āan	ã ³ ã ¹	1
$	NULL	1
^tnd	t ⁿd	
́ɨ̂n$	ĩ ⁵¹	
ɨ̄n$	ĩ ³	
ɨ̂n$	ĩ ⁵¹	
ûn$	ũ ⁵¹	
