Grapheme	IPA	Frequency
^k	k	27
í	i ⁵	31
t	t	22
ì$	i ¹	21
^y	ʒ	23
a	a ³	23
á$	a ⁵	4
^x	ʃ	15
i	i ³	18
x	ʃ	11
i$	i ³	16
^t	t	10
ch	tʃ	5
à	a ¹	1
a$	a ³	14
^nd	ⁿd	21
ú	u ⁵	24
ò$	o ¹	5
^ñ	ɲ	10
u	u ³	19
ñ	ɲ	11
u$	u ³	8
m	m	8
à$	a ¹	14
á	a ⁵	11
'	ʔ	44
n	n	15
ú$	u ⁵	7
ì	i ¹	5
-	+	8
s	s	7
^ú	u ⁵	4
v	β	12
^tn	tⁿ	7
tn	tⁿ	
e	e ³	5
k	k	11
ù	u ¹	8
n$	n	6
^v	β	8
l	l	3
^ch	tʃ	1
^s	s	10
é	e ⁵	6
e$	e ³	6
o$	o ³	7
ìn$	ĩ ¹	6
kuà	kʷ a ¹	2
^kue	kʷ e ³	 
$	NULL	2
àn$	ã ¹	3
^í	i ⁵	7
ù$	u ¹	15
y	ʒ	5
ó	o ⁵	2
^u	u ³	4
è	e ¹	2
un$	ũ ³	3
íín$	ĩ ⁵ ĩ ⁵	1
^i	i ³	3
úún$	ũ ⁵ ũ ⁵	1
^j	x	4
ún$	ũ ⁵	1
^m	m	1
í$	i ⁵	4
j	x	2
ó$	o ⁵	3
an	ã	1
ò	o ¹	2
in$	ĩ ³	5
ín$	ĩ ⁵	1
o	o	6
nd	ⁿd	2
è$	e ¹	3
^l	l	2
é$	e ⁵	1
^á	a ⁵	1
an$	ã	1
èn$	ẽ ¹	
ùn$	ũ ¹	
^kui	kʷ i ³	
^kuí	kʷ i ⁵	
^kuá	kʷ a ⁵	
^kua	kʷ a ³	
^kue	kʷ e ³	
^kué	kʷ e ⁵	
ùn$	ũ ¹	
