Grapheme	IPA	Frequency
^k	k	33
i	i ³	27
t	t	49
í$	i ⁵	27
^t	t	21
o	o ³	7
k	k	30
ó$	o ⁵	13
^y	j	25
a̠	a ¹	16
á$	a ⁵	22
^x	ʃ	24
x	ʃ	17
i$	i ³	22
ǐ	i ¹⁵	7
ch	tʃ	12
^s	s	13
^n	n	38
o̠	o ¹	10
'	ʔ	54
u	u ³	28
i̠	i ¹	28
o$	o ³	10
í	i ⁵	10
-	+	13
ñ	ɲ	15
u̠	u ¹	23
ú$	u ⁵	11
^ñ	ɲ	12
m	m	9
in$	ĩ ³	6
á	a ⁵	18
n	n	16
u$	u ³	18
a	a ³	24
a$	a ³	25
^u̠	u ¹	8
v	β	18
a̠$	a ¹	14
n$	n	4
^l	l	7
ún$	ũ ⁵	4
an$	ã ³	4
^ch	tʃ	7
e̠	e ¹	4
e$	e ³	6
^v	β	9
é$	e ⁵	2
s	s	7
án$	ã ⁵	3
^i	i ³	11
ó	o ⁵	2
ú	u ⁵	2
y	j	8
e̠$	e ¹	1
ǎ	a ¹⁵	2
an$	ã ³	3
îín$	ĩ ⁵¹ ĩ ⁵	1
^tia̠	tʲ a ¹	3
u̠$	u ¹	7
nt	ⁿd	1
^nt	ⁿd	
^m	m	2
ín$	ĩ ⁵	7
î	i ⁵¹	2
i̠$	i ¹	8
e	e ³	4
â	a ⁵¹	3
kuá	kʷ a ⁵	3
^kua̠	kʷ a ¹	
^kua	kʷ a ³	
^kuá	kʷ a ⁵	
^kuí	kʷ i ⁵	
^kui̠	kʷ i ¹
^kué	kʷ e ⁵	
^kue̠	kʷ e ¹	
^kui	kʷ i ³	
^kuî	kʷ i ⁵¹	
kuǐ	kʷ i ¹⁵	
ǔ	u ¹⁵	3
un$	ũ ³	2
^i̠	i ¹	4
i̠n$	ĩ ¹	2
ǒ	o ¹⁵	2
$	NULL	1
^í	i ⁵	1
é	e ⁵	2
l	l	3
r	ɾ	1
^o̠	o ¹	1
o̠$	o ¹	1
^a	a ³	1
^ntiá	ⁿdʲ a ⁵	 
^ntia̠	ⁿdʲ a ¹	 
u̠n$	ũ ¹	
^ntiu	ⁿdʲ u ³	
tia	tʲ a ³	
^tio	tʲ o ³	
^tio̠	tʲ o ¹	
nk	ⁿg	
