Grapheme	IPA	Frequency
^k	k	15
i	i ³	21
t	t	14
ǐ$	i ¹⁵	19
^ch	tʃ	9
o	o ³	7
k	k	19
ǒ$	o ¹⁵	3
^y	j	21
à	a ¹	13
á$	a ⁵	9
^t	t	15
ǐ	i ¹⁵	4
ch	tʃ	27
i$	i ³	17
^s	s	12
a$	a ³	11
^n	n	14
ǎ$	a ¹⁵	9
^nd	ⁿd	17
u	u ³	13
^ts	ts	11
ì	i ¹	21
o$	o ³	5
^ñ	ɲ	8
ù	u ¹	17
ñ	ɲ	7
ǔ$	u ¹⁵	5
m	m	9
á	a ⁵	11
'	ʔ	46
n	n	14
u$	u ³	2
a	a ³	24
à$	a ¹	21
^ù	u ¹	8
v	β	10
é	e ⁵	7
ì$	i ¹	16
^kw	kʷ	15
ìín$	ĩ ¹ ĩ ⁵	1
ǎ	a ¹⁵	5
-	+	15
kw	kʷ	5
ts	ts	13
^í	i ⁵	2
í	i ⁵	8
é$	e ⁵	2
an	ã ³	2
^v	β	8
l	l	2
ú$	u ⁵	6
ǔn$	ũ ¹⁵	1
è	e ¹	3
e$	e ³	4
s	s	6
ú	u ⁵	2
^i	i ³	10
ù$	u ¹	9
í$	i ⁵	5
y	j	2
è$	e ¹	1
ó	o ⁵	4
x	ʃ	7
î$	i ⁵¹	3
ùún$	ũ ¹ ũ ⁵	2
^x	ʃ	4
àn$	ã ¹	1
îín$	ĩ ⁵¹ ĩ ⁵	1
un$	ũ ³	5
^m	m	3
in$	ĩ ³	5
^tsiò	tsʲ o ¹	1
ó$	o ⁵	7
an$	ã ³	2
ǔ	u ¹⁵	4
e	e ³	2
nd	ⁿd	1
ò	o ¹	4
â$	a ⁵¹	1
^ì	i ¹	3
ìn$	ĩ ¹	1
^l	l	2
ǐn$	ĩ ¹⁵	1
ín$	ĩ ⁵	1
^à	a ¹	1
uun$	ũ ³ ũ ³	1
tià	tʲ a ¹	
áan$	ã ⁵ ã ¹	
^nch	ⁿtʃ	
nch	ⁿtʃ	
nts	ⁿts	
^nts	ⁿts	
ùn$	ũ ¹	
