Grapheme	IPA	Frequency
^n	n	25
nd	ⁿd	11
^nd	ⁿd	
u	u	97
v	β	10
i$	i	42
^k	k	39
i	i	117
t	t	52
²	³	76
ʔ$	ʔ	68
^ch	tʃ	8
a	a	115
a$	a	57
k	k	34
^ⁿd	ⁿd	20
o$	o	10
^č	tʃ	10
^ñ	ɲ	12
u̧	ũ	20
m	m	17
a̧	ã	16
^t	t	36
ch	tʃ	10
'	ʔ	42
n	n	30
u$	u	32
ʔ	ʔ	53
²$	³	21
^s	s	23
^u	u	14
ƀ	β	17
ùun$	ũ ³ ũ ¹	1
^kʷ	kʷ	16
²¹$	³¹	16
í$	i ⁵	1
²¹	³¹	8
i̧	ĩ	17
^x	ʃ	5
un$	ũ	6
^ʃ	ʃ	2
ũ	ũ	5
^š	ʃ	4
u̧$	ũ	15
^i	i	21
^y	j	29
^j	j	18
i̧$	ĩ	11
^m	m	4
l	l	4
uun$	ũ ũ	2
e	e	21
e$	e	12
^v	β	8
i̠	i ¹	1
ō	o ³	1
$	NULL	8
-	+	19
y	j	12
in$	ĩ	5
^b	β	3
ʧ	tʃ	6
ĩ	ĩ	5
^ƀ	β	8
č	tʃ	9
s	s	8
j	j	2
ⁿd	ⁿd	2
o	o	19
^ʧ	tʃ	4
x	ʃ	3
b	β	5
^u̧	ũ	3
a̧$	ã	6
ã	ã	4
¹$	¹	3
¹	¹	6
ú$	u ⁵	1
+	+	2
ñ	ɲ	12
^l	l	3
kʷ	kʷ	4
r	ɾ	2
ʃ	ʃ	1
š	ʃ	2
ɲ	ɲ	6
³$	⁵	6
ngu	ⁿgʷ	1
^r	ɾ	3
an$	ã	3
^ī	i ³	2
ín$	ĩ ⁵	1
īn$	ĩ ³	1
a̠	a ¹	1
á$	a ⁵	1
ó	o ⁵	1
^i̧	ĩ	1
^ɲ	ɲ	3
^a	a	3
ɨ̧	ɨ̃	1
w	w	2
o̧	õ	1
o̧$	õ	1
^o	o	1
kui	kʷ i	1
^a̧	ã	1
^h	h	1
^kui	kʷ i	
^kue	kʷ e	
^kua	kʷ a	
^kuaan	kʷ ã ã	
