Grapheme	IPA	Frequency
^nd	ⁿd	13
i	i ³	10
á	a ⁵	10
c	k	10
a$	a ³	19
^qu	k	4
ɨ	ɨ ³	12
t	t	9
ɨ$	ɨ ³	7
^t	t	8
ī	i ¹	2
ch	tʃ	3
í$	i ⁵	4
^y	j	13
a	a ³	16
ā$	a ¹	8
^ch	tʃ	3
j	h	9
i$	i ³	8
^n	n	8
h	ʔ	30
n	n	23
u$	u ³	13
^c	k	16
^s	s	7
^j	h	8
ú	u ⁵	3
ú$	u ⁵	4
qu	k	3
^ñ	ɲ	6
an	ã ³	3
^v	β	6
í	i ⁵	4
l	l	3
ñ	ɲ	4
ē	e ¹	4
e$	e ³	4
m	m	2
ɨ̄	ɨ ¹	3
s	s	5
u	u ³	22
ī$	i ¹	5
^i	i ³	8
ā	a ¹	4
v	β	6
ɨ̄$	ɨ ¹	3
y	j	6
e	e ³	5
^u	u ³	6
ū$	u ¹	8
á$	a ⁵	5
^x	ʃ	5
en$	ẽ ³	1
ūn$	ũ ¹	2
ē$	e ¹	2
uūn$	ũ ³ ũ ¹	1
-	+	2
ó	o ⁵	1
ō$	o ¹	6
ɨ́	ɨ ⁵	3
ū	u ¹	3
ún$	ũ ⁵	1
ɨ́$	ɨ ⁵	2
^ɨ	ɨ ³	2
n$	n	4
o	o ³	5
é	e ⁵	3
ng	ⁿg	1
o$	o ³	3
nd	ⁿd	1
é$	e ⁵	2
^l	l	3
x	ʃ	2
^a	a ³	1
^o	o ³	1
ēn$	ẽ ¹	2
ín$	ĩ ⁵	1
an$	ã ³	1
un$	ũ ³	1
án$	ã ⁵	1
jn	n̥	
^jn	n̥	
^cuá	kʷ a ⁵	
cuá	kʷ a ⁵	
^cuā	kʷ a ¹	
^cui	kʷ i ³	
^cuí	kʷ i ⁵	
^cué	kʷ e ⁵	
ɨn$	ɨ̃ ³	
ɨ̄n$	ɨ̃ ¹	
^cue	kʷ e ³	
