Grapheme	IPA	Frequency
^k	k	32
i	i ³	32
j	h	59
ts	ts	20
ǐ$	i ¹⁵	22
^tsiò	tsʲ o ¹	2
k	k	27
ó$	o ⁵	3
^y	j	21
à	a ¹	15
ǎ$	a ¹⁵	13
^x	ʃ	23
í	i ⁵	7
x	ʃ	19
i$	i ³	15
^ch	tʃ	8
ì	i ¹	28
ch	tʃ	12
í$	i ⁵	5
^s	s	11
t	t	22
^n	n	31
^t	t	11
á$	a ⁵	3
u	u ³	21
o$	o ³	8
^ñ	ɲ	6
ù	u ¹	11
ñ	ɲ	13
ǔ$	u ¹⁵	4
^ì	i ¹	7
m	m	8
v	β	17
à$	a ¹	17
a	a ³	25
'	ʔ	53
n	n	14
u$	u ³	7
^ò	o ¹	6
ò	o ¹	10
ǒ	o ¹⁵	2
n$	n	3
^i	i ³	12
ì$	i ¹	14
ú	u ⁵	3
ǔn$	ũ ¹⁵	4
un$	ũ ³	2
e	e ³	3
é$	e ⁵	2
^tsiǎ	tsʲ a ¹⁵	1
^v	β	8
ǒ$	o ¹⁵	11
ǒn$	õ ¹⁵	
^ts	ts	7
-	+	11
in$	ĩ ³	4
s	s	6
ǎn$	ã ¹⁵	3
^u	u ³	2
û$	u ⁵¹	4
è	e ¹	6
o	o ³	13
y	j	6
ú$	u ⁵	2
è$	e ¹	2
ǐ	i ¹⁵	3
â$	a ⁵¹	3
a$	a ³	19
ǎ	a ¹⁵	2
ân$	ã ⁵¹	2
á	a ⁵	12
î$	i ⁵¹	2
ǐn$	ĩ ¹⁵	7
ù$	u ¹	6
^tsià	tsʲ a ¹	2
^ù	u ¹	3
^m	m	2
e$	e ³	5
ǔ	u ¹⁵	2
an$	ã ³	2
kuá	kʷ a ⁵	3
ô$	o ⁵¹	1
ún$	ũ ⁵	1
nt	ⁿd	1
^nt	ⁿd	
ìín$	ĩ ¹ ĩ ⁵	1
ìn$	ĩ ¹	3
nts	ⁿts	1
^nts	ⁿts	
kua	kʷ a ³	1
$	NULL	1
^l	l	7
^í	i ⁵	1
é	e ⁵	4
l	l	2
ín$	ĩ ⁵	1
^tsia	tsʲ a ³	1
tsia	tsʲ a ³	
^à	a ¹	1
ò$	o ¹	1
on$	õ ³	1
uun$	ũ ³ ũ ³	1
^ntsia	ⁿtsʲ a ³	
^kuà	kʷ a ¹	
^kua	kʷ a ³	
^kuá	kʷ a ⁵	
^kue	kʷ e ³	
^kué	kʷ e ⁵	
^kuè	kʷ e ¹	
^kuì	kʷ i ¹	
^kui	kʷ i ³	
^kuí	kʷ i ⁵	
kuǐ	kʷ i ¹⁵	
^nch	ⁿtʃ	
nch	ⁿtʃ	
ùn$	ũ ¹	
