Grapheme	IPA	Frequency
^k	k	13
ɨ̄	ɨ ³	5
t	t	6
ɨ̄$	ɨ ³	3
^š	ʃ	2
ī	i ³	9
ì$	i ¹	6
^ⁿd	ⁿd	6
ū	u ³	14
č	tʃ	6
ī$	i ³	4
^č	tʃ	4
ì	i ¹	2
á	a ⁵	9
ʔ	ʔ	22
n	n	9
ū$	u ³	9
^s	s	7
ā	a ³	13
à$	a ¹	11
^t	t	10
ú̧	ũ ⁵	1
ú̧$	ũ ⁵	3
^ž	ʒ	14
k	k	8
^ñ	ɲ	3
è	e ¹	1
ē$	e ³	2
ā$	a ³	12
m	m	2
^ƀ	β	6
x	x	3
ī̧$	ĩ ³	1
ɨ̀	ɨ ¹	1
s	s	2
^n	n	4
^kʷ	kʷ	7
à	a ¹	4
ƀ	β	2
ɨ̀$	ɨ ¹	1
^ī	i ³	5
ù$	u ¹	10
ò	o ¹	1
ō$	o ³	2
í	i ⁵	3
ñ	ɲ	4
á$	a ⁵	4
-	+	2
ž	ʒ	2
^ū̧	ũ ³	1
ù̧$	ũ ¹	2
^x	x	3
ū̧	ũ ³	1
ò$	o ¹	5
ù̧	ũ ¹	4
ù	u ¹	4
ú$	u ⁵	2
ē	e ³	2
ō	o ³	5
^ɨ̄	ɨ ³	1
ɨ̧̀$	ɨ̃ ⁵	1
ā̧$	ã ³	2
^ī̧ī̧$	ĩ ³ ĩ ³	1
í$	i ⁵	3
à̧$	ã ¹	1
^l	l	1
ú	u ⁵	1
l	l	1
š	ʃ	1
ū̧$	ũ ³	2
^ū	u ³	1
í̧$	ĩ ⁵	1
ā̧	ã ³	1
á̧	ã ⁵	1
á̧$	ã ⁵	1
