ID	PARAMETER_ID	CONCEPT	DOCULECT	SUBGROUP	VALUE	FORM	TOKENS	IPA	COGIDS_BROAD	COGIDS_FINE	LATITUDE	LONGITUDE	SOURCE
1	58_mother	MOTHER	AbasoloValleMixtec	Mixtec	nana	nana	n a ³ n a ³	na³na³	432	432	17.78287	-95.54381	galindo-sanchez2009vocabulario
2	59_mothervocative	MOTHER VOCATIVE	AbasoloValleMixtec	Mixtec	ma	ma	m a ³	ma³	435	435	17.78287	-95.54381	galindo-sanchez2009vocabulario
3	32_father	FATHER	AbasoloValleMixtec	Mixtec	tata	tata	t a ³ t a ³	ta³ta³	220	220	17.78287	-95.54381	galindo-sanchez2009vocabulario
5	191_son	SON	AbasoloValleMixtec	Mixtec	se'e	se'e	s e ³ ʔ e ³	se³ʔe³	103	103	17.78287	-95.54381	galindo-sanchez2009vocabulario
6	129_daughter	DAUGHTER	AbasoloValleMixtec	Mixtec	sesi'i	se-si'i	s e ³ + s i ³ ʔ i ³	se³+si³ʔi³	103 433	103 433	17.78287	-95.54381	galindo-sanchez2009vocabulario
7	20_crosssexsibling	CROSS-SEX SIBLING	AbasoloValleMixtec	Mixtec	kua'à	kua'à	kʷ a ³ ʔ a ¹	kʷa³ʔa¹	159	159	17.78287	-95.54381	galindo-sanchez2009vocabulario
8	12_brotherofman	BROTHER (OF MAN)	AbasoloValleMixtec	Mixtec	ñani	ñani	ɲ a ³ n i ³	ɲa³ni³	84	84	17.78287	-95.54381	galindo-sanchez2009vocabulario
9	148_sisterofwoman	SISTER (OF WOMAN)	AbasoloValleMixtec	Mixtec	ku'u	ku'u	k u ³ ʔ u ³	ku³ʔu³	651	651	17.78287	-95.54381	galindo-sanchez2009vocabulario
10	119_aunt	AUNT	AbasoloValleMixtec	Mixtec	xixi	xixi	ʃ i ³ ʃ i ³	ʃi³ʃi³	6	6	17.78287	-95.54381	galindo-sanchez2009vocabulario
11	151_uncle	UNCLE	AbasoloValleMixtec	Mixtec	xito	xito	ʃ i ³ t o ¹	ʃi³to¹	824	824	17.78287	-95.54381	galindo-sanchez2009vocabulario
12	53_man	MAN	AbasoloValleMixtec	Mixtec	chàa	chàa	tʃ a ¹ a ³	tʃa¹a³	414	414	17.78287	-95.54381	galindo-sanchez2009vocabulario
13	113_woman	WOMAN	AbasoloValleMixtec	Mixtec	ñà'an	ñà'an	ɲ a ¹ ʔ ã ³	ɲa¹ʔã³	858	858	17.78287	-95.54381	galindo-sanchez2009vocabulario
14	144_owner	OWNER	AbasoloValleMixtec	Mixtec	sto'o	sto'o	s + t o ³ ʔ o ¹	s+to³ʔo¹	485 512	485 512	17.78287	-95.54381	galindo-sanchez2009vocabulario
15	79_priest	PRIEST	AbasoloValleMixtec	Mixtec	sutu	sutu	s u ³ t u ³	su³tu³	568	568	17.78287	-95.54381	galindo-sanchez2009vocabulario
16	158_blood	BLOOD	AbasoloValleMixtec	Mixtec	niì	niì	n i ³ i ¹	ni³i¹	65	65	17.78287	-95.54381	galindo-sanchez2009vocabulario
17	136_hair	HAIR	AbasoloValleMixtec	Mixtec	ixi	ixi	i ³ ʃ i ³	i³ʃi³	311	311	17.78287	-95.54381	galindo-sanchez2009vocabulario
18	29_face	FACE	AbasoloValleMixtec	Mixtec	nùù	nùù	n u ¹ u ¹	nu¹u¹	210	210	17.78287	-95.54381	galindo-sanchez2009vocabulario
19	196_tongue	TONGUE	AbasoloValleMixtec	Mixtec	yaá	yaá	ʒ a ³ a ⁵	ʒa³a⁵	781	781	17.78287	-95.54381	galindo-sanchez2009vocabulario
20	197_tooth	TOOTH	AbasoloValleMixtec	Mixtec	nu'u	nu'u	n u ³ ʔ u ³	nu³ʔu³	785	785	17.78287	-95.54381	galindo-sanchez2009vocabulario
21	61_mouth	MOUTH	AbasoloValleMixtec	Mixtec	yu'u	yu'u	ʒ u ³ ʔ u ³	ʒu³ʔu³	447	447	17.78287	-95.54381	galindo-sanchez2009vocabulario
22	131_ear	EAR	AbasoloValleMixtec	Mixtec	so'o	so'o	s o ³ ʔ o ¹	so³ʔo¹	194	194	17.78287	-95.54381	galindo-sanchez2009vocabulario
23	69_nose	NOSE	AbasoloValleMixtec	Mixtec	xichi	xichi	ʃ i ³ tʃ i ³	ʃi³tʃi³	496	496	17.78287	-95.54381	galindo-sanchez2009vocabulario
24	141_neck	NECK	AbasoloValleMixtec	Mixtec	sukú	sukú	s u ³ k u ⁵	su³ku⁵	465	465	17.78287	-95.54381	galindo-sanchez2009vocabulario
