ID	DOCULECT	CONCEPT	SPANISH_GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE	VARIETY_CODE
18909	SanEstebanAtatlahucaMixtec_A	ALL DAY	todo el día	ndiáca	ndiáca	201				alexander1980gramatica	[A]	atat11
5901	SanEstebanAtatlahucaMixtec_A	ANIMAL	animal	quɨtɨ	quɨtɨ	50	619			alexander1980gramatica	[A]	atat11
10592	SanEstebanAtatlahucaMixtec_A	AVOCADO	aguacate	tīchí	tīchí	108	3725			alexander1980gramatica	[B]	atat11
18968	SanEstebanAtatlahucaMixtec_A	BACK	espalda	yatā	yatā	29	1291			alexander1980gramatica	[C]	atat11
10708	SanEstebanAtatlahucaMixtec_A	BANANA	plátano	ndica	ndica	109	868			alexander1980gramatica	[A]	atat11
18969	SanEstebanAtatlahucaMixtec_A	BELLY OR STOMACH	estómago	chīji	chīji	30	2114			alexander1980gramatica	[A]	atat11
15843	SanEstebanAtatlahucaMixtec_A	BIG (PLURAL)	grande.PL	náhnu	náhnu	174				alexander1980gramatica	[A]	atat11
15722	SanEstebanAtatlahucaMixtec_A	BIG (SINGULAR)	grande.SG	cáhnu	cáhnu	173				alexander1980gramatica	[A]	atat11
6209	SanEstebanAtatlahucaMixtec_A	BIRD	pájaro	saa	saa	51	937			alexander1980gramatica	[C]	atat11
13706	SanEstebanAtatlahucaMixtec_A	BLACK	negro	jnúú	jnúú	155	163			alexander1980gramatica	[B]	atat11
18415	SanEstebanAtatlahucaMixtec_A	BONE	hueso	yɨquɨ	yɨquɨ	18	1394			alexander1980gramatica	[A]	atat11
18059	SanEstebanAtatlahucaMixtec_A	BROTHER (OF MAN)	hermano de hombre	ñani	ñani	9	559			alexander1980gramatica	[C]	atat11
7704	SanEstebanAtatlahucaMixtec_A	CAT	gato	vílu	vílu	69	1208			alexander1980gramatica	[A]	atat11
9791	SanEstebanAtatlahucaMixtec_A	CHAYOTE	chayote	naña	naña	101				alexander1980gramatica	[A]	atat11
17830	SanEstebanAtatlahucaMixtec_A	CHILD (DESCENDANT)	hijo/hija	sēhe	sēhe	5	1801			alexander1980gramatica	[A]	atat11
5357	SanEstebanAtatlahucaMixtec_A	CLOTH OR CLOTHES	tela, ropa	sahma	sahma	39				alexander1980gramatica	[A]	atat11
11429	SanEstebanAtatlahucaMixtec_A	COOKING POT	olla	quɨ̄sɨ	quɨ̄sɨ	116	3653			alexander1980gramatica	[A]	atat11
9311	SanEstebanAtatlahucaMixtec_A	CORN	maíz	nunī	nunī	87	506			alexander1980gramatica	[C]	atat11
9429	SanEstebanAtatlahucaMixtec_A	CORN FIELD	milpa	itu	itu	88	449			alexander1980gramatica	[C]	atat11
17942	SanEstebanAtatlahucaMixtec_A	CROSS-SEX SIBLING	hermana/hermano de otro genero	cuāha	cuāha	8				alexander1980gramatica	[A]	atat11
18790	SanEstebanAtatlahucaMixtec_A	DAY (24 HOURS)	día	quɨvɨ̄	quɨvɨ̄	200	1260			alexander1980gramatica	[C]	atat11
6921	SanEstebanAtatlahucaMixtec_A	DEER	venado	isu	isu	61	1936			alexander1980gramatica	[C]	atat11
12413	SanEstebanAtatlahucaMixtec_A	DEW	rocío	yúyú	yúyú	140	1977			alexander1980gramatica	[B]	atat11
19184	SanEstebanAtatlahucaMixtec_A	DISEASE	enfermedad	cuehyɨ	cuehyɨ	33	1986			alexander1980gramatica	[A]	atat11
7432	SanEstebanAtatlahucaMixtec_A	DOG	perro	ina	ina	68	2009			alexander1980gramatica	[C]	atat11
10348	SanEstebanAtatlahucaMixtec_A	EGG	huevo	ndɨ̄vɨ	ndɨ̄vɨ	105	744			alexander1980gramatica	[C]	atat11
14873	SanEstebanAtatlahucaMixtec_A	EIGHT	ocho	unā	unā	164	1705			alexander1980gramatica	[C]	atat11
18517	SanEstebanAtatlahucaMixtec_A	FACE	cara	nuū	nuū	20	1560			alexander1980gramatica	[C]	atat11
17111	SanEstebanAtatlahucaMixtec_A	FAR	lejos	jícá	jícá	190	1406			alexander1980gramatica	[B]	atat11
10125	SanEstebanAtatlahucaMixtec_A	FAT (FROM ANIMALS)	manteca	xēhen	xēhen	104	1282			alexander1980gramatica	[C]	atat11
17720	SanEstebanAtatlahucaMixtec_A	FATHER	padre	tátá	tátá	3	1217			alexander1980gramatica	[C]	atat11
15115	SanEstebanAtatlahucaMixtec_A	FIFTEEN	quince	xahūn	xahūn	167	1709			alexander1980gramatica	[C]	atat11
6328	SanEstebanAtatlahucaMixtec_A	FISH	pez	chācá	chācá	52	227			alexander1980gramatica	[B]	atat11
14428	SanEstebanAtatlahucaMixtec_A	FIVE	cinco	uhūn	uhūn	161	493			alexander1980gramatica	[C]	atat11
9171	SanEstebanAtatlahucaMixtec_A	FLOWER	flor	ita	ita	83	239			alexander1980gramatica	[C]	atat11
19091	SanEstebanAtatlahucaMixtec_A	FOOT	pie	jehē	jehē	32	1301			alexander1980gramatica	[C]	atat11
14300	SanEstebanAtatlahucaMixtec_A	FOUR	cuatro	cuūn	cuūn	160	1500			alexander1980gramatica	[C]	atat11
16316	SanEstebanAtatlahucaMixtec_A	GOOD	bueno	vāha	vāha	179	1035			alexander1980gramatica	[A]	atat11
8722	SanEstebanAtatlahucaMixtec_A	GRASS	zacate	ndayóhō	nda-yóhō	82	606			alexander1980gramatica	[C]	atat11
6682	SanEstebanAtatlahucaMixtec_A	GRASSHOPPER	chapulín	tɨ́ca	tɨ́ca	58	607			alexander1980gramatica	[C]	atat11
18847	SanEstebanAtatlahucaMixtec_A	HAND	mano	ndaha	ndaha	27	1277			alexander1980gramatica	[A]	atat11
17781	SanEstebanAtatlahucaMixtec_A	HEAVY	pesado	vēyɨ	vēyɨ	191	1210			alexander1980gramatica	[A]	atat11
8030	SanEstebanAtatlahucaMixtec_A	HEN	gallina	ndují	ndují	71	1514			alexander1980gramatica	[B]	atat11
11780	SanEstebanAtatlahucaMixtec_A	HOLE	hoyo	yavū	yavū	130	1667			alexander1980gramatica	[C]	atat11
8395	SanEstebanAtatlahucaMixtec_A	HORN (ANATOMY)	cuerno	ndɨquɨ	ndɨquɨ	76	1393			alexander1980gramatica	[A]	atat11
15596	SanEstebanAtatlahucaMixtec_A	HOT	caliente	jihní	jihní	172	1286			alexander1980gramatica	[B]	atat11
5481	SanEstebanAtatlahucaMixtec_A	HOUSE	casa	vehe	vehe	44	1252			alexander1980gramatica	[A]	atat11
13196	SanEstebanAtatlahucaMixtec_A	LIME (MATERIAL)	cal	caca	caca	147	2540			alexander1980gramatica	[C]	atat11
16197	SanEstebanAtatlahucaMixtec_A	LONG (PLURAL)	largo.PL	náni	náni	178				alexander1980gramatica	[A]	atat11
16082	SanEstebanAtatlahucaMixtec_A	LONG (SINGULAR)	largo.SG	cáni	cáni	177				alexander1980gramatica	[A]	atat11
18178	SanEstebanAtatlahucaMixtec_A	MAN	hombre	tēe	tēe	13	1554			alexander1980gramatica	[A]	atat11
11224	SanEstebanAtatlahucaMixtec_A	MEAT	carne	cūñu	cūñu	114	634			alexander1980gramatica	[C]	atat11
19304	SanEstebanAtatlahucaMixtec_A	MEDICINE	medicina	tajnā	tajnā	34	1372			alexander1980gramatica	[C]	atat11
12853	SanEstebanAtatlahucaMixtec_A	METAL	metal	cāa	cāa	145	2244			alexander1980gramatica		atat11
19034	SanEstebanAtatlahucaMixtec_A	MIDDLE	medio, algunos	sava	sava	202	1093			alexander1980gramatica	[A]	atat11
19243	SanEstebanAtatlahucaMixtec_A	MONEY	dinero	xūhún	xūhún	203	1559			alexander1980gramatica	[B]	atat11
17601	SanEstebanAtatlahucaMixtec_A	MOTHER	madre	náná	náná	1	1216			alexander1980gramatica	[C]	atat11
17602	SanEstebanAtatlahucaMixtec_A	MOTHER VOCATIVE	mamá!	nánā	nánā	2				alexander1980gramatica	[C]	atat11
12623	SanEstebanAtatlahucaMixtec_A	MOUNTAIN OR HILL	monte	yucu	yucu	141	2118			alexander1980gramatica	[A]	atat11
6803	SanEstebanAtatlahucaMixtec_A	MOUSE	ratón	jnɨ́nɨ́	jnɨ́nɨ́	60	1491			alexander1980gramatica	[C]	atat11
18609	SanEstebanAtatlahucaMixtec_A	MOUTH	boca	yuhu	yuhu	23	674			alexander1980gramatica	[A]	atat11
13305	SanEstebanAtatlahucaMixtec_A	MUD	lodo	ndehyū	ndehyū	149	640			alexander1980gramatica	[C]	atat11
10833	SanEstebanAtatlahucaMixtec_A	MUSHROOM	hongo	jihī	jihī	113	641			alexander1980gramatica	[C]	atat11
16889	SanEstebanAtatlahucaMixtec_A	NEAR	cerca de, está cerca	yajni	yajni	189	1942			alexander1980gramatica	[A]	atat11
